Wind_Direction,Wind_Speed,Cloud_Base_Height,Temperature,Pressure,NotWeekend,InOperatingHours,NotHoliday
80,3,250,9.9,1025.4,1,1,1
20,1,100,12.8,1026.0,1,1,1
280,2,250,14.9,1025.9,1,1,1
260,4,100,15.9,1026.3,1,1,1
230,8,100,16.9,1026.1,1,1,1
220,10,100,17.5,1026.2,1,1,1
230,9,100,17.9,1026.0,1,1,1
310,11,100,16.8,1025.8,1,1,1
310,11,100,16.7,1025.4,1,1,1
310,11,100,16.3,1025.5,1,1,1
330,8,250,16.7,1025.3,1,1,1
320,11,200,15.2,1025.2,1,1,1
320,9,200,14.8,1025.2,1,1,1
290,6,60,14.5,1025.3,1,0,1
280,7,60,14.2,1025.1,1,0,1
290,7,60,14.0,1024.9,1,0,1
290,7,60,13.9,1024.5,1,0,1
270,8,60,14.3,1023.8,0,0,1
260,7,30,14.3,1023.3,0,0,1
290,8,30,14.6,1022.9,0,0,1
300,7,30,14.5,1022.7,0,0,1
290,6,30,14.9,1022.7,0,0,1
250,6,30,14.7,1022.6,0,1,1
250,7,30,15.0,1022.9,0,1,1
260,6,30,15.5,1022.9,0,1,1
270,6,30,16.1,1022.8,0,1,1
290,4,30,16.3,1022.6,0,1,1
270,8,30,19.1,1022.2,0,1,1
240,7,100,18.8,1021.8,0,1,1
240,10,250,20.0,1021.2,0,1,1
260,10,250,20.1,1021.3,0,1,1
260,10,250,20.1,1021.2,0,1,1
290,10,250,19.4,1021.1,0,1,1
280,10,250,18.5,1021.0,0,1,1
280,10,250,16.7,1020.8,0,1,1
270,6,250,15.1,1020.7,0,1,1
270,9,250,13.5,1021.1,0,0,1
260,8,30,14.1,1021.1,0,0,1
260,7,30,14.0,1021.0,0,0,1
250,10,30,15.1,1020.1,0,1,1
250,10,20,15.4,1020.0,0,1,1
270,13,30,15.8,1020.3,0,1,1
260,9,30,16.0,1020.2,0,1,1
240,10,20,16.2,1020.6,0,1,1
240,5,0,15.8,1020.4,0,1,1
230,4,0,15.8,1021.3,0,0,1
260,3,10,15.7,1021.6,1,0,1
270,1,20,15.5,1021.5,1,0,1
350,2,60,14.5,1020.8,1,0,1
360,2,250,13.1,1021.4,1,1,1
50,4,250,14.0,1021.7,1,1,1
50,2,250,15.5,1021.1,1,1,1
330,4,250,16.6,1021.4,1,1,1
270,3,250,17.7,1021.5,1,1,1
210,4,250,19.8,1021.3,1,1,1
210,6,250,19.6,1021.4,1,1,1
210,10,250,19.2,1021.2,1,1,1
210,9,250,19.0,1020.6,1,1,1
200,9,250,18.9,1020.4,1,1,1
