Wind_Direction,Wind_Speed,Cloud_Base_Height,Temperature,Pressure,Humidity,NotWeekend,InOperatingHours,NotHoliday
10,1,250,4.7,1005.6,95.2,0,0,1
40,5,250,4.9,1005.4,95.2,0,0,1
20,5,250,5.4,1005.3,90.5,0,1,1
20,10,60,7.6,1005.4,82.9,0,1,1
30,11,250,8.8,1005.6,75.6,0,1,1
50,14,60,7.9,1006.0,67.9,0,1,1
50,11,60,9.4,1006.2,67.2,0,1,1
50,10,60,10.0,1005.8,61.8,0,1,1
30,12,100,10.8,1005.5,54.8,0,1,1
20,10,100,11.5,1005.2,54.8,0,1,1
30,12,100,10.2,1005.0,63.4,0,1,1
20,13,100,10.1,1004.6,64.4,0,1,1
20,14,100,9.4,1004.7,64.7,0,1,1
20,11,150,9.7,1004.5,65.1,0,1,1
10,9,150,9.6,1004.9,65.0,0,1,1
20,10,100,9.0,1005.3,66.7,0,1,1
10,11,150,8.6,1005.4,67.4,0,0,1
10,10,100,8.4,1005.5,68.5,0,0,1
350,10,150,8.2,1005.4,69.6,0,0,1
20,9,150,8.0,1005.5,66.7,0,0,1
20,7,200,7.3,1005.0,71.3,1,0,1
360,12,200,7.1,1004.7,68.2,1,0,1
350,10,250,6.0,1004.6,78.6,1,0,1
10,7,100,5.5,1005.0,79.7,1,0,1
350,9,200,4.8,1004.6,83.8,1,0,1
350,9,250,4.5,1004.4,80.3,1,0,1
350,12,250,4.5,1004.6,78.8,1,1,1
350,11,250,5.4,1004.9,70.3,1,1,1
340,14,250,6.7,1004.7,62.0,1,1,1
350,16,250,7.8,1004.7,55.7,1,1,1
350,17,250,8.8,1004.7,54.9,1,1,1
340,17,250,9.5,1004.6,53.7,1,1,1
340,16,250,10.4,1004.8,51.7,1,1,1
340,16,250,11.1,1004.9,50.8,1,1,1
330,14,250,11.7,1004.8,49.7,1,1,1
320,14,250,11.1,1004.9,49.6,1,1,1
340,14,100,11.7,1005.0,47.4,1,1,1
320,15,100,10.9,1005.5,56.1,1,1,1
310,15,100,10.5,1005.7,59.0,1,1,1
310,13,250,9.1,1006.1,63.1,1,1,1
310,9,250,7.5,1006.8,72.9,1,0,1
290,8,250,6.4,1007.1,79.0,1,0,1
290,6,150,5.9,1007.2,80.0,1,0,1
290,5,150,5.3,1007.3,82.6,1,0,1
300,5,150,6.4,1007.2,80.5,1,0,1
270,5,150,5.7,1006.8,87.4,1,0,1
280,7,150,7.1,1006.6,86.7,1,0,1
280,1,150,5.0,1006.3,85.5,1,0,1
70,1,250,3.6,1006.0,91.4,1,0,1
60,2,250,2.6,1005.7,94.6,1,0,1
60,3,30,3.3,1005.5,96.5,1,1,1
310,2,60,6.2,1005.5,92.4,1,1,1
220,11,60,9.9,1005.3,80.5,1,1,1
200,14,100,10.8,1005.0,79.9,1,1,1
210,18,30,11.5,1004.9,74.4,1,1,1
210,15,150,11.5,1004.7,69.7,1,1,1
210,16,60,12.3,1004.4,70.6,1,1,1
200,16,60,13.3,1004.0,71.6,1,1,1
200,19,60,11.0,1003.7,80.0,1,1,1
